delay,freq,condition,textbox.text
0.7,1000,exp,700
0.1,1000,exp,400
0.4,1000,exp,100
0.4,1000,exp,525
0.1,1000,exp,100
0.7,1000,exp,779
0.4,1000,exp,152
0.1,1000,exp,548
0.7,1000,exp,700
0.1,1000,exp,120
0.4,1000,exp,400
0.7,1000,exp,405
0.7,1000,exp,754
0.7,1000,exp,526
0.1,1000,exp,646
0.4,1000,exp,487
0.4,1000,exp,400
0.1,1000,exp,204
0.4,1000,exp,548
0.4,1000,exp,545
0.1,1000,exp,585
0.7,1000,exp,312
0.7,1000,exp,127
0.1,1000,exp,967
0.7,1000,exp,547
0.4,1000,exp,781
0.1,1000,exp,145
0.4,1000,exp,578
0.7,1000,exp,654
0.1,1000,exp,668
0.1,1000,exp,549
0.1,1000,exp,875
0.7,1000,exp,987
0.4,1000,exp,456
0.7,1000,exp,354
0.4,1000,exp,753
0.4,1000,exp,951
0.1,1000,exp,465
0.4,1000,exp,285
0.7,1000,exp,358
0.4,1000,exp,915
0.1,1000,exp,545
0.1,1000,exp,455
0.7,1000,exp,700
0.7,1000,exp,400
0.7,1000,exp,545
0.1,1000,exp,100
0.4,1000,exp,500
0.7,1000,exp,450
0.1,1000,exp,654
0.7,1000,exp,455
0.1,1000,exp,850
0.4,1000,exp,200
0.4,1000,exp,300
0.4,1000,exp,805
0.1,1000,exp,654
0.4,1000,exp,782
0.7,1000,exp,800
0.7,1000,exp,900
0.1,1000,exp,450
0.4,1000,exp,400
0.7,1000,exp,785
0.1,1000,exp,984
0.7,1000,exp,875
0.1,1000,exp,549
0.1,1000,exp,978
0.4,1000,exp,645
0.1,1000,exp,457
0.4,1000,exp,987
0.7,1000,exp,358
0.7,1000,exp,985
0.4,1000,exp,546
0.7,400,unexp,325
0.1,400,unexp,650
0.4,400,unexp,250
0.1,400,unexp,780
0.4,400,unexp,400
0.7,400,unexp,200
0.7,400,unexp,205
0.4,400,unexp,354
0.1,400,unexp,450
0.1,400,unexp,325
0.7,400,unexp,235
0.4,400,unexp,65
0.1,400,unexp,549
0.4,400,unexp,954
0.7,400,unexp,365
0.1,400,unexp,650
0.4,400,unexp,450
0.7,400,unexp,654
0.7,400,unexp,890
0.4,400,unexp,300
0.1,400,unexp,200
0.1,400,unexp,250
0.4,400,unexp,123
0.7,400,unexp,321