reward_today,future_reward,delay,key_resp.keys,k,,
78,80,162,l,0.0001582779361,,
1034,1254,456,l,0.0004665920119,,
456,654,852,l,0.000509636768,,
324,456,465,l,0.0008761449622,,
85,120,254,l,0.001621120889,,
78,100,154,l,0.001831501832,,
156,354,644,l,0.001970855232,,
425,452,23,l,0.002762148338,geometric mean=,0.02892106702
400,456,50,l,0.0028,,
300,321,25,l,0.0028,,
320,1000,612,l,0.003472222222,,
57,68,55,l,0.00350877193,,
231,300,78,l,0.00382950383,,
215,234,23,l,0.003842264914,,
500,564,30,l,0.004266666667,,
970,987,4,l,0.004381443299,,
87,98,26,l,0.004862953139,,
45,52,28,l,0.005555555556,,
52,65,45,l,0.005555555556,,
40,55,62,l,0.006048387097,,
50,89,120,l,0.0065,,
54,65,31,l,0.006571087216,,
78,89,21,l,0.006715506716,,
45,76,98,l,0.007029478458,,
498,975,127,l,0.007541978939,,
21,32,65,l,0.008058608059,,
45,123,213,l,0.00813771518,,
21,85,355,l,0.008584842388,,
125,987,655,l,0.01052824427,,
45,50,10,l,0.01111111111,,
125,220,65,l,0.01169230769,,
100,132,24,l,0.01333333333,,
87,880,678,l,0.01344386804,,
250,300,14,l,0.01428571429,,
54,96,54,l,0.01440329218,,
50,65,20,l,0.015,,
45,56,15,l,0.0162962963,,
54,540,544,l,0.01654411765,,
60,65,5,l,0.01666666667,,
20,25,15,l,0.01666666667,,
30,70,80,l,0.01666666667,,
20,95,200,l,0.01875,,
12,23,45,l,0.02037037037,,
22,66,89,l,0.02247191011,,
36,97,75,l,0.02259259259,,
100,210,45,l,0.02444444444,,
10,30,60,l,0.03333333333,,
21,76,76,l,0.03446115288,,
34,87,45,l,0.03464052288,,
15,62,87,l,0.03601532567,,
100,250,41,l,0.03658536585,,
20,53,45,l,0.03666666667,,
20,45,32,l,0.0390625,,
15,105,150,l,0.04,,
12,26,25,l,0.04666666667,,
11,23,23,l,0.04743083004,,
2,63,568,l,0.0536971831,,
45,96,21,l,0.05396825397,,
20,80,55,l,0.05454545455,,
12,34,30,l,0.06111111111,,
120,230,14,l,0.06547619048,,
10,90,100,l,0.08,,
12,98,77,l,0.09307359307,,
15,35,13,l,0.1025641026,,
5,98,100,l,0.186,,
10,20,5,l,0.2,,
11,30,7,l,0.2467532468,,
23,67,7,l,0.2732919255,,
10,28,5,l,0.36,,
3,28,3,l,2.777777778,,
123,125,54,t,0.0003011141223,,
25,27,250,t,0.00032,,
78,98,521,t,0.0004921502042,,
600,700,321,t,0.0005192107996,,
67,75,119,t,0.001003386429,,
56,65,123,t,0.001306620209,,
500,510,12,t,0.001666666667,,
49,60,89,t,0.002522357258,,
450,500,42,t,0.002645502646,,
66,87,98,t,0.003246753247,,
90,100,30,t,0.003703703704,,
40,60,95,t,0.005263157895,,
123,140,26,t,0.005315822389,,
14,35,251,t,0.005976095618,,
54,65,25,t,0.008148148148,,
14,58,321,t,0.009790832221,,
45,56,24,t,0.01018518519,,
48,95,95,t,0.01030701754,,
34,67,89,t,0.01090548579,,
20,40,78,t,0.01282051282,,
23,32,25,t,0.01565217391,,
18,32,40,t,0.01944444444,,
20,50,70,t,0.02142857143,,
32,98,77,t,0.02678571429,,
27,50,21,t,0.0405643739,,
34,234,123,t,0.04782400765,,
3,6,20,t,0.05,,
32,52,12,t,0.05208333333,,
7,18,20,t,0.07857142857,,
11,23,12,t,0.09090909091,,